id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48182223,Mid City Southern Living on Lopez,167921411,Rochelle,,Mid-City,29.96334,-90.09611,Entire home/apt,216,3,72,2024-03-03,2.00,32,305,29,"22-CSTR-21152, 19-OSTR-26238"
48182882,Longterm Stay In Nola! No Fees,49452897,Lisa,,Leonidas,29.96064,-90.12251,Shared room,,90,0,,,24,0,0,
48182949,Mid City Southern Charmer on Lopez,167921411,Rochelle,,Mid-City,29.9634,-90.0981,Entire home/apt,214,3,55,2024-02-26,1.60,32,323,20,"22-CSTR-21155, 20OSTR-26238"
48186083,"MARINA HOUSE ON WATER- SUNSET VIEWS, BOATSLIP",746184,Carrie,,West End,30.02613,-90.11912,Entire home/apt,115,30,0,,,2,226,0,
48192001,La Casa de Ulloa of New Orleans,167921411,Rochelle,,Mid-City,29.96671,-90.1023,Entire home/apt,243,3,75,2024-03-06,2.08,32,325,15,"22-CSTR-00575, 19OSTR-26238"
48192871,Nola Creole Queen of New Orleans,167921411,Rochelle,,Mid-City,29.96184,-90.09576,Entire home/apt,398,3,52,2024-03-11,1.56,32,0,20,"20-CSTR-28148, 19OSTR-26238"
48199026,Studio w/Kitchenette in Garden Distr. ☀ pool & tub,358932514,Tom,,Central City,29.93611,-90.08069,Entire home/apt,286,30,0,,,2,249,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48199236,Experience historic New Orleans ★ private studio,358932514,Tom,,Lower Garden District,29.93373,-90.07946,Entire home/apt,286,30,0,,,2,249,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48200009,30 Day  Custom Bunkbeds Discount,49452897,Lisa,,Leonidas,29.95813,-90.13038,Shared room,70,30,0,,,24,365,0,
48209193,60 Day Minimum - French Quarter 1 Bedroom Balcony!,1502676,Aaron,,French Quarter,29.96451,-90.06288,Entire home/apt,166,59,8,2023-03-10,0.23,2,269,0,
48211631,9 BR Historic Marigny Mansion near French Quarter,376995864,EsplanadeMansion,,Treme - Lafitte,29.96659,-90.065,Private room,1642,1,4,2023-10-08,0.22,9,227,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48215335,"2 Bedroom Uptown New Orleans, 7 mins from FQ",11372242,Thiamanti,,Lower Garden District,29.9351,-90.07501,Entire home/apt,216,2,53,2024-02-12,1.47,46,55,19,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48227204,"Artsy, Cozy Home in the Heart of NOLA",389102150,Gregory,,St. Roch,29.972033,-90.05262,Entire home/apt,143,3,117,2024-03-04,3.38,1,39,59,"22-RSTR-16044, 22-OSTR-17314"
48243093,The Cozy Cypress Condo,389248415,Edris,,Tall Timbers - Brechtel,29.89998,-89.99465,Entire home/apt,99,2,62,2024-03-03,2.33,1,224,24,"22-RSTR-12601, 22-OSTR-11639"
48251787,NOLA Guesthouse with Private Pool,198018061,Michael,,Uptown,29.92379,-90.11183,Entire home/apt,167,3,124,2024-03-09,3.39,1,0,30,"21RSTR-01326, 21-OSTR-02046"
45116366,Warehouse District | Spacious Three Bedroom,342910048,LiivUP,,Lower Garden District,29.94294,-90.06885,Entire home/apt,355,30,50,2024-02-05,1.17,19,254,11,"18STR-20171, 18-OSTR-20171"
48282456,Quiet 3-bedroom with free parking,51221072,Marlin,,Milneburg,30.02663,-90.04947,Entire home/apt,450,30,0,,,1,365,0,
48283549,V&J Short Term Rental,162234887,Viola,,Treme - Lafitte,29.969885,-90.081917,Entire home/apt,220,1,8,2023-05-07,0.25,1,255,2,"21-RSTR-02076, 20-OSTR-01528"
45116497,Warehouse District | Stunning Two Bedroom,342910048,LiivUP,,Lower Garden District,29.94231,-90.06848,Entire home/apt,250,1,33,2024-02-03,0.91,19,259,11,"18STR-20171, 18-OSTR-20171"
45116544,Warehouse District | Gorgeous Three Bedroom,342910048,LiivUP,,Lower Garden District,29.94069,-90.06986,Entire home/apt,368,1,84,2024-01-28,2.06,19,257,22,"20-CSTR-24130, 22-OSTR-17719"
45116886,COOL TOWNHOUSE AT THE FOOT OF THE FRENCH QUARTER!,39839266,New Orleans Properties,,Seventh Ward,29.96841,-90.06518,Entire home/apt,300,2,7,2024-02-11,0.17,10,232,1,"21STR-25811, 21-OSTR-08565"
45137627,Historic Apt. in Marigny Cottage- Blue Room,112910785,Marigny,,Marigny,29.96746,-90.06089,Entire home/apt,92,30,48,2024-03-07,2.42,65,0,31,"21RSTR-02637, 21OSTR-02640"
45138174,Magnolia - King Room,342206187,Magnolia Hotel,,Central Business District,29.95102,-90.06853,Private room,191,1,100,2024-02-18,2.32,12,144,11,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48287207,Uptown Home near Tulane . Great neighborhood!,12638573,Bradley,,Audubon,29.93593,-90.11277,Entire home/apt,190,3,15,2024-02-26,0.68,2,144,4,"21-RSTR-03269, 21-OSTR-01608"
45141900,"Maison Josephine, Luxury Jewel of Nola",167921411,Rochelle,,Mid-City,29.96939,-90.09353,Entire home/apt,340,3,16,2023-11-06,0.45,32,262,3,"22-CSTR-00176, 22-OSTR-01397"
48292917,"Historic 5 BR Home In Lower Garden, Close to DT",4871580,Matthew,,Central City,29.93882,-90.07423,Entire home/apt,909,3,48,2024-02-15,1.40,2,310,12,"22-CSTR-02244, 22-OSTR-07479"
45144493,Bijou in Algiers Point,171537298,Katherine,,Algiers Point,29.94996,-90.05427,Entire home/apt,,2,81,2024-03-03,2.89,1,0,35,"21-RSTR-07556, 21-OSTR-06657"
48301816,Monthly Loft Bed Rental,49452897,Lisa,,Leonidas,29.95816,-90.12886,Shared room,33,30,1,2022-04-19,0.04,24,365,0,
48327469,Trendy Art Filled MidCity Oasis w/ HeatedPool+ PKG,390097449,Nick,,Treme - Lafitte,29.96764,-90.08253,Entire home/apt,383,3,91,2024-02-19,2.51,10,0,31,"22-CSTR-08640, 22-OSTR-22814"
48328885,Magnolia New Orleans - King Room,342206187,Magnolia Hotel,,Central Business District,29.9513,-90.06757,Private room,191,1,32,2023-08-26,0.88,12,185,5,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
48329353,Historic Luxury Retreat,319011975,David,,Central City,29.94122,-90.07479,Entire home/apt,1030,1,83,2024-02-16,2.33,4,294,39,"22-CSTR-04113, 22-OSTR-20810"
48329654,Sleek Historic Southern Condo | 5 min to FQ,314495800,Patrick,,Central Business District,29.95078,-90.06639,Entire home/apt,691,1,86,2024-02-24,2.42,4,0,25,"22-CSTR-20957, 22-OSTR-20810"
48330403,"Tranquil, Luxury Home | 3mi to French Quarter",60833585,Mark,,Milneburg,30.0164,-90.04873,Entire home/apt,381,2,104,2024-02-16,2.83,1,0,46,"22-RSTR-04179, 22-OSTR-03048"
48371126,Culturally Unique Mid-City Duplex,383432052,Dana,,Treme - Lafitte,29.96876,-90.08127,Entire home/apt,139,30,44,2023-03-13,1.21,2,77,1,"17STR-10000, 17-OSTR-0001"
